parent,verdict,ops,n_ops,nsym,spacegroup,msg_type,bns,uni,n_structures,n_altermagnet,n_verdict_changed_by_strain,sse_max_eV,sse_mean_eV,gamma_avg_max_meV,m1_abs_min_muB,m1_abs_max_muB,m_asymmetry_max_muB,m_total_abs_max_muB,n_with_m2,n_antiparallel
Mn2Pb4_2,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,17,0,0,0.018945,0.016306882352941175,3.281,4.38,4.605,0.002000000000000668,0.004,12,12
As2Cr2_4,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,3,63.460,558,16,0,0,0.018884,0.01537375,3.974,3.959,4.159,0.002000000000000668,0.004,11,11
Fe2Pb4_2,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,17,0,0,0.018749,0.01602123529411765,2.284,2.906,3.41,0.0030000000000001137,0.004,12,12
Co2Pb3_1,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,15,0,0,0.018434,0.016376933333333333,2.994,1.915,2.03,0.0020000000000000018,0.003,12,12
Fe2Pb2_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,3,63.460,558,16,0,0,0.018215,0.0154456875,3.772,2.986,3.174,0.0030000000000001137,0.004,12,12
Ga4Ti2_1,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,P4/mmm,4,139.540,1200,1,0,0,0.017872,0.017872,1.413,0.002,0.002,,0.004,0,0
Mn2Pb8_2,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,17,0,0,0.017582,0.013011529411764707,1.26,4.462,4.647,0.001000000000000334,0.003,12,12
Fe2Tl3_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmmm,3,65.483,581,13,0,0,0.016797,0.013653384615384614,2.977,2.994,3.192,0.0040000000000000036,0.004,9,9
Bi6Cr2_3,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/m,3,12.61,68,15,0,0,0.016277,0.013887133333333333,2.256,4.069,4.204,0.0009999999999994458,0.003,10,10
F4Fe2_2,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,16,0,0,0.016261,0.0134103125,3.356,3.798,3.813,0.0,0.0,12,12
Cr2Pb8_2,conventional_AFM_inversion,inversion|mirror/rotoinv,4,8,Cmme,3,67.507,605,16,0,0,0.016218,0.01333925,0.764,4.072,4.198,0.0,0.002,12,12
Cr2Ge3_1,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,17,0,0,0.015912,0.014755823529411764,3.127,3.742,4.035,0.002000000000000224,0.004,12,12
O2Rh2_7,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,4,8,C2/m,4,12.63,70,10,0,0,0.015809,0.0122733,2.649,2.323,2.393,0.0009999999999998899,0.002,9,9
Al5Mn2_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12,R-3m,3,166.99,1329,15,0,0,0.015802,0.015012866666666668,5.05,4.1,4.388,0.002000000000000668,0.003,11,11
Cr2Sb2_2,conventional_AFM_translation,inversion|translation,2,4,P-1,4,2.7,7,15,0,0,0.015638,0.011696933333333333,3.771,3.994,4.151,0.0030000000000001137,0.004,12,12
As2Mo2_4,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,P4/nmm,3,129.413,1073,9,0,0,0.015537,0.013992000000000001,5.338,1.04,2.589,0.004999999999999893,0.004,5,5
Cr2F4_cluster2,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,I4_1/amd,3,141.558,1218,5,0,0,0.015228,0.013374,5.117,3.781,3.806,,0.0,0,0
Bi3Mn2_1,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,16,0,0,0.014926,0.0130483125,3.272,4.417,4.573,0.0019999999999997797,0.003,12,12
As2Nb2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,2,2,0,0.014892,0.010309,0.471,0.002,0.006,0.0,0.002,1,1
Bi8Fe2_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,15,0,0,0.014465,0.012133533333333333,1.728,2.949,3.22,0.001000000000000334,0.004,10,10
Co2Tl3_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmmm,3,65.483,581,17,0,0,0.014423,0.013088235294117647,1.588,1.818,2.023,0.0020000000000000018,0.003,12,12
C2Mo2_4,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,1,1,0,0.014086,0.014086,0.209,0.005,0.005,,0.001,0,0
Ge2V2_3,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,4,8,P2/m,4,12.64,71,17,0,0,0.013975,0.013014823529411764,1.017,2.569,2.73,0.001000000000000334,0.002,12,12
Al3Fe2_2,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Immm,3,71.535,633,13,0,0,0.013742,0.009955,2.393,2.627,2.935,0.002000000000000224,0.002,11,11
Cr2In8_2,conventional_AFM_translation,inversion|translation,2,4,P-1,4,2.7,7,16,0,0,0.013678,0.01127825,0.993,4.051,4.222,0.0019999999999997797,0.004,11,11
Bi6Fe2_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,15,0,0,0.013214,0.010949533333333334,1.777,2.948,3.147,0.002000000000000224,0.003,11,11
Pb2Ru2_3,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Cmcm,3,63.460,558,12,0,0,0.013193,0.006990916666666666,1.318,1.618,2.092,0.002000000000000224,0.003,11,11
Mn2N2_7,conventional_AFM_translation,mirror/rotoinv|translation,2,4,Cm,4,8.35,42,17,0,0,0.013105,0.012412823529411764,1.973,3.633,4.132,0.001000000000000334,0.001,12,12
Mo2Sn5_1,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,7,0,0,0.013093,0.01187,2.066,2.0,3.121,0.0040000000000000036,0.004,3,3
Mn2Te8_2,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/c,3,15.88,95,17,0,0,0.013089,0.01180070588235294,2.079,4.343,4.57,0.001000000000000334,0.002,12,12
Cr2Sb8_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,16,0,0,0.012991,0.01168525,3.148,3.878,4.063,0.001000000000000334,0.004,12,12
Co2Sb3_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12,P-3m1,3,164.87,1317,16,0,0,0.012945,0.009422625,3.995,1.086,1.78,0.0020000000000000018,0.003,12,12
Fe2Se8_1,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16,P4/mcc,3,124.359,1019,13,0,0,0.012343,0.010894384615384615,1.12,3.624,3.762,0.001000000000000334,0.002,10,10
Ni2Pb2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,1,1,0,0.012211,0.012211,0.25,0.004,0.004,,0.001,0,0
Ni2Pb1_1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,I4/mmm,3,139.533,1193,1,0,0,0.012007,0.012007,0.71,0.308,0.308,,0.001,0,0
As1V2_1,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,3,12.60,67,14,0,0,0.011958,0.0068469285714285715,2.973,2.48,2.682,0.001000000000000334,0.003,12,12
Al2Mn2_2,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,P4/mmm,4,123.348,1008,11,0,0,0.011657,0.010549454545454544,2.614,3.786,4.201,0.0030000000000001137,0.004,8,8
Cr2Si4_1,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16,I4/mcm,3,140.549,1209,15,0,0,0.011416,0.0108126,3.955,2.854,3.582,0.001000000000000334,0.001,12,12
Cr2Ga2_2,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,P4/mmm,4,139.540,1200,16,0,0,0.01105,0.0102956875,1.253,3.864,4.097,0.0009999999999998899,0.003,12,12
Cr2P18_1,conventional_AFM_inversion,inversion,1,2,P-1,3,2.6,6,11,0,0,0.010693,0.009395545454545455,2.236,3.321,3.634,0.0030000000000001137,0.003,10,10
C2Sc2_4,compensated_FiM_candidate,,0,12,P-6m2,1,187.209,1439,1,0,0,0.01058,0.01058,2.803,0.002,0.002,,0.004,0,0
