filename,sg,verdict,ops,n_ops,nsym
Fe2Tl3_1_z975,P2/m,conventional_AFM_inversion,inversion|rotation,2,4
Ga2Ru2_4,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Ga2Ru2_4_st025,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Ga2Ru2_4_x025,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Ga2Ru2_4_x050,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Ga2Ru2_4_x950,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Ga2Ru2_4_x975,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Ga2Ru2_4_y025,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Ga2Ru2_4_y050,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Ga2Ru2_4_y950,P2_1/m,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Ga2Ru2_4_y975,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Ga2Ru2_4_z025,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Ga2Ru2_4_z975,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Ga4Ti2_1,P4/mmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
