trial_number,value,best_sse_overall
137,0.4993094503879547,0.7907546758651733
138,0.6237672567367554,0.7907546758651733
139,0.6733468770980835,0.7907546758651733
140,0.5754082202911377,0.7907546758651733
141,0.4679546654224396,0.7907546758651733
142,0.7351828813552856,0.7907546758651733
143,0.3802430331707001,0.7907546758651733
144,0.5329781770706177,0.7907546758651733
145,0.5126179456710815,0.7907546758651733
146,0.5861053466796875,0.7907546758651733
147,0.6052472591400146,0.7907546758651733
148,0.4695032238960266,0.7907546758651733
149,0.4208399653434753,0.7907546758651733
150,0.5063767433166504,0.7907546758651733
151,0.520485520362854,0.7907546758651733
152,0.4660133421421051,0.7907546758651733
153,0.5470492839813232,0.7907546758651733
154,0.628300666809082,0.7907546758651733
155,0.5476093292236328,0.7907546758651733
156,0.5292500257492065,0.7907546758651733
157,0.6426620483398438,0.7907546758651733
158,0.5353906154632568,0.7907546758651733
159,0.836790919303894,0.836790919303894
160,0.7141381502151489,0.836790919303894
161,0.5769463777542114,0.836790919303894
162,0.6715784072875977,0.836790919303894
163,0.5239275693893433,0.836790919303894
164,0.4927429258823395,0.836790919303894
165,0.6237567663192749,0.836790919303894
166,0.7096797227859497,0.836790919303894
167,0.4237171411514282,0.836790919303894
168,0.6730613708496094,0.836790919303894
169,0.592509388923645,0.836790919303894
170,0.3260203599929809,0.836790919303894
171,0.4829029142856598,0.836790919303894
172,0.4794615507125854,0.836790919303894
173,0.4874125123023987,0.836790919303894
174,0.7184959650039673,0.836790919303894
175,0.5237472057342529,0.836790919303894
176,0.6805734634399414,0.836790919303894
177,0.5088229179382324,0.836790919303894
178,0.4872866868972778,0.836790919303894
179,0.4420114755630493,0.836790919303894
180,0.728418231010437,0.836790919303894
181,0.684735894203186,0.836790919303894
182,0.4831573367118835,0.836790919303894
183,0.703271746635437,0.836790919303894
184,0.4756268262863159,0.836790919303894
185,0.3514273166656494,0.836790919303894
186,0.7090342044830322,0.836790919303894
187,0.6124438047409058,0.836790919303894
188,0.4477024972438812,0.836790919303894
189,0.5427836179733276,0.836790919303894
190,0.6377534866333008,0.836790919303894
191,0.4437837898731231,0.836790919303894
192,0.5717394351959229,0.836790919303894
193,0.5148801803588867,0.836790919303894
194,0.6484284400939941,0.836790919303894
195,0.5768647193908691,0.836790919303894
196,0.5534777641296387,0.836790919303894
197,0.6804808378219604,0.836790919303894
198,0.5689058303833008,0.836790919303894
199,0.540691614151001,0.836790919303894
200,0.4633625149726867,0.836790919303894
201,0.4697247743606567,0.836790919303894
202,0.8177206516265869,0.836790919303894
203,0.5624929666519165,0.836790919303894
204,0.4633995294570923,0.836790919303894
205,0.6705313920974731,0.836790919303894
206,0.4394912123680115,0.836790919303894
207,0.3986555635929107,0.836790919303894
208,0.6134958267211914,0.836790919303894
209,0.5521481037139893,0.836790919303894
210,0.5478048324584961,0.836790919303894
211,0.4786173105239868,0.836790919303894
212,0.394131451845169,0.836790919303894
213,0.7213175296783447,0.836790919303894
214,0.6528234481811523,0.836790919303894
215,0.5462057590484619,0.836790919303894
216,0.6136146783828735,0.836790919303894
217,0.2503728568553924,0.836790919303894
218,0.3247100114822387,0.836790919303894
219,0.6669155359268188,0.836790919303894
220,0.6253390312194824,0.836790919303894
221,0.66916823387146,0.836790919303894
222,0.4930422306060791,0.836790919303894
223,0.6160217523574829,0.836790919303894
224,0.3934869766235351,0.836790919303894
225,0.6203621625900269,0.836790919303894
226,0.3703582286834717,0.836790919303894
227,0.5041030645370483,0.836790919303894
228,0.2770823836326599,0.836790919303894
229,0.4340858161449432,0.836790919303894
230,0.5532653331756592,0.836790919303894
231,0.5396870374679565,0.836790919303894
232,0.6517904996871948,0.836790919303894
233,0.4159463047981262,0.836790919303894
234,0.5996166467666626,0.836790919303894
235,0.3294065594673157,0.836790919303894
236,0.6453560590744019,0.836790919303894
237,0.552367091178894,0.836790919303894
238,0.6704108715057373,0.836790919303894
239,0.6823470592498779,0.836790919303894
240,0.3733826577663421,0.836790919303894
241,0.4370207488536834,0.836790919303894
242,0.6203454732894897,0.836790919303894
243,0.7511700391769409,0.836790919303894
244,0.6712415218353271,0.836790919303894
245,0.5931918621063232,0.836790919303894
246,0.7014913558959961,0.836790919303894
247,0.4328767359256744,0.836790919303894
