filename,kp_idx,band,spin,mag_elem,nonmag_elem,s_tot,s_mag_tot,d_mag_tot,s_nonmag_tot,p_nonmag_tot,p_tot,d_tot,total_occ,s_global,p_global,d_global,pd_hybrid_minimum,pd_hybrid_geometric,pd_hybrid_product,p_to_d_ratio,sse,pd_ratio
POSCAR_F4Mn2_1_y025,250,26,down,Mn,F,0.008,0.002,0.633,0.006,0.30300000000000005,0.30300000000000005,0.633,0.9440000000000001,0.00847457627118644,0.3209745762711865,0.670550847457627,0.641949152542373,0.9278572608564247,0.8609190965239873,0.4786729857819906,0.317864,0.8333331944444675
POSCAR_F4Mn2_1_y025,250,26,up,Mn,F,0.017,0.007,0.698,0.01,0.21,0.21,0.698,0.9249999999999999,0.01837837837837838,0.22702702702702704,0.7545945945945945,0.4540540540540541,0.8278003803368914,0.6852534696859021,0.3008595988538682,0.317864,0.8333331944444675
POSCAR_F4Mn2_1_y050,250,26,down,Mn,F,0.007,0.001,0.623,0.006,0.31000000000000005,0.31000000000000005,0.623,0.9400000000000001,0.007446808510638297,0.3297872340425532,0.6627659574468084,0.6595744680851064,0.9350331586076452,0.8742870076957899,0.4975922953451044,0.308016,0.8333331944444675
POSCAR_F4Mn2_1_y050,250,26,up,Mn,F,0.017,0.007,0.6890000000000001,0.01,0.21600000000000003,0.21600000000000003,0.6890000000000001,0.9220000000000002,0.01843817787418655,0.23427331887201736,0.747288503253796,0.4685466377440347,0.8368267629854321,0.7002790312486765,0.3134978229317852,0.308016,0.8333331944444675
POSCAR_F4Mn2_1_y950,249,26,down,Mn,F,0.016,0.006,0.663,0.01,0.268,0.268,0.663,0.9470000000000001,0.01689545934530095,0.2829989440337909,0.7001055966209081,0.5659978880675818,0.8902340019474972,0.7925165782234566,0.4042232277526395,0.288104,0.8333331944444675
POSCAR_F4Mn2_1_y950,249,26,up,Mn,F,0.019,0.005,0.719,0.014,0.199,0.199,0.719,0.9369999999999999,0.020277481323372468,0.21237993596584848,0.7673425827107792,0.42475987193169695,0.8073863228467127,0.6518726743199362,0.2767732962447845,0.288104,0.8333331944444675
POSCAR_F4Mn2_1_y975,346,26,down,Mn,F,0.018000000000000002,0.008,0.658,0.01,0.268,0.268,0.658,0.9440000000000001,0.019067796610169493,0.2838983050847458,0.6970338983050848,0.5677966101694916,0.8896892543251865,0.7915469692617065,0.4072948328267477,0.283456,0.8333331944444675
POSCAR_F4Mn2_1_y975,346,26,up,Mn,F,0.024,0.01,0.715,0.014,0.184,0.184,0.715,0.9229999999999999,0.026002166847237274,0.19934994582881907,0.7746478873239437,0.39869989165763814,0.7859415102269056,0.6177040574977493,0.2573426573426574,0.283456,0.8333331944444675
POSCAR_F4Mn2_1_z025,250,26,down,Mn,F,0.008,0.002,0.632,0.006,0.30100000000000005,0.30100000000000005,0.632,0.9410000000000001,0.008501594048884165,0.3198724760892668,0.6716259298618491,0.6397449521785336,0.9270051762329397,0.8593385967626636,0.47626582278481017,0.317963,0.8333331944444675
POSCAR_F4Mn2_1_z025,250,26,up,Mn,F,0.017,0.007,0.697,0.01,0.21,0.21,0.697,0.9239999999999999,0.0183982683982684,0.2272727272727273,0.7543290043290043,0.4545454545454546,0.8281024334580203,0.6857536402990949,0.30129124820659975,0.317963,0.8333331944444675
POSCAR_F4Mn2_1_z050,250,26,down,Mn,F,0.007,0.001,0.622,0.006,0.31000000000000005,0.31000000000000005,0.622,0.9390000000000001,0.007454739084132055,0.33013844515441965,0.6624068157614483,0.6602768903088393,0.9352774052978606,0.8747438248606987,0.49839228295819943,0.308161,0.8333331944444675
POSCAR_F4Mn2_1_z050,250,26,up,Mn,F,0.017,0.007,0.6890000000000001,0.01,0.21600000000000003,0.21600000000000003,0.6890000000000001,0.9220000000000002,0.01843817787418655,0.23427331887201736,0.747288503253796,0.4685466377440347,0.8368267629854321,0.7002790312486765,0.3134978229317852,0.308161,0.8333331944444675
