#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  30
# Band-Index:    1
   1.24652     -6.215776     -6.185396
   1.28021     -6.213608     -6.186386
   1.31390     -6.212804     -6.186680
   1.31390     -6.212804     -6.186680
   1.34721     -6.212739     -6.187095
   1.38051     -6.212345     -6.188203
   1.41382     -6.211031     -6.189628
   1.44713     -6.207936     -6.190876
   1.48043     -6.202272     -6.191506
   1.51374     -6.193687     -6.191302
   1.54705     -6.182286     -6.190360
   1.58035     -6.168383     -6.188997
   1.61366     -6.152331     -6.187653
   1.64697     -6.134486     -6.186788
   1.68028     -6.115204     -6.186792
   1.71358     -6.094925     -6.187955
   1.74689     -6.074202     -6.190379
   1.78020     -6.053897     -6.193959
   1.81350     -6.035554     -6.198329
   1.84681     -6.022310     -6.202848
   1.88012     -6.020175     -6.206576
   1.91342     -6.034431     -6.208362
   1.94673     -6.060795     -6.206956
   1.98004     -6.091567     -6.201158
   2.01334     -6.122483     -6.190002
   2.04665     -6.151409     -6.172817
   2.07996     -6.176726     -6.149228
   2.11327     -6.196493     -6.119134
   2.14657     -6.208274     -6.082696
   2.17988     -6.209876     -6.040450
   2.21319     -6.200687     -5.993462
   2.24649     -6.181909     -5.943655
   2.27980     -6.155810     -5.894310
   2.31311     -6.125477     -5.850409
   2.34641     -6.094880     -5.817278
   2.37972     -6.068152     -5.796810
   2.41303     -6.047753     -5.786543
   2.44633     -6.033609     -5.782914
   2.47964     -6.024240     -5.783187
   2.51295     -6.018193     -5.785425
   2.54625     -6.014480     -5.788163
   2.57956     -6.012503     -5.790288
   2.61287     -6.011892     -5.791079
 
# Band-Index:    8
   2.61287     -5.961048     -5.713804
   2.57956     -5.957068     -5.713340
   2.54625     -5.946104     -5.711947
   2.51295     -5.931040     -5.709615
   2.47964     -5.916368     -5.706338
   2.44633     -5.907311     -5.702167
   2.41303     -5.907446     -5.697249
   2.37972     -5.915564     -5.691897
   2.34641     -5.926498     -5.686682
   2.31311     -5.935897     -5.682865
   2.27980     -5.942222     -5.682805
   2.24649     -5.945514     -5.686830
   2.21319     -5.946167     -5.691682
   2.17988     -5.944497     -5.695816
   2.14657     -5.940739     -5.699228
   2.11327     -5.935107     -5.702178
   2.07996     -5.927988     -5.704943
   2.04665     -5.920178     -5.707802
   2.01334     -5.913170     -5.711020
   1.98004     -5.909080     -5.714833
   1.94673     -5.908807     -5.719412
   1.91342     -5.908463     -5.724812
   1.88012     -5.898706     -5.730965
   1.84681     -5.873835     -5.737682
   1.81350     -5.838924     -5.744677
   1.78020     -5.801076     -5.751639
   1.74689     -5.765680     -5.758247
   1.71358     -5.737545     -5.764213
   1.68028     -5.720675     -5.769333
   1.64697     -5.715686     -5.773483
   1.61366     -5.719179     -5.776622
   1.58035     -5.727109     -5.778799
   1.54705     -5.736759     -5.780112
   1.51374     -5.746587     -5.780717
   1.48043     -5.755731     -5.780794
   1.44713     -5.763665     -5.780532
   1.41382     -5.770077     -5.780109
   1.38051     -5.774771     -5.779679
   1.34721     -5.777627     -5.779371
   1.31390     -5.778582     -5.779263
   1.31390     -5.778582     -5.779263
   1.28021     -5.778664     -5.778563
   1.24652     -5.778886     -5.776478
   1.21283     -5.779177     -5.773075
   1.17914     -5.779405     -5.768475
   1.14545     -5.779410     -5.762873
   1.11176     -5.779001     -5.756581
   1.07807     -5.777963     -5.750080
   1.04438     -5.776083     -5.744115
   1.01069     -5.773156     -5.739810
   0.97700     -5.769043     -5.738821
   0.94331     -5.763666     -5.743207
   0.90962     -5.757041     -5.754756
   0.87593     -5.749310     -5.773706
   0.84224     -5.740704     -5.797976
   0.80855     -5.731585     -5.823627
   0.77486     -5.722372     -5.845349
   0.74117     -5.713510     -5.857615
   0.70748     -5.705442     -5.859123
   0.67379     -5.698526     -5.856993
   0.64011     -5.693004     -5.863532
   0.60642     -5.688955     -5.878554
   0.57273     -5.686299     -5.894706
   0.53904     -5.684811     -5.909104
   0.50535     -5.684183     -5.920938
   0.47166     -5.684071     -5.929981
   0.43797     -5.684110     -5.936164
   0.40428     -5.683892     -5.939436
   0.37059     -5.682996     -5.939597
   0.33690     -5.681872     -5.936283
   0.30321     -5.683667     -5.929113
   0.26952     -5.688570     -5.918376
   0.23583     -5.694227     -5.906690
   0.20214     -5.699619     -5.899554
   0.16845     -5.704349     -5.901845
   0.13476     -5.708259     -5.913452
