#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  30
# Band-Index:    1
   2.79302     -8.720477     -8.718473
   2.80937     -8.719312     -8.717351
   2.82572     -8.718286     -8.716359
   2.84207     -8.717414     -8.715511
   2.85842     -8.716690     -8.714808
   2.87477     -8.716119     -8.714255
   2.89112     -8.715709     -8.713853
   2.90747     -8.715464     -8.713612
   2.92382     -8.715382     -8.713532
   2.92382     -7.970622     -7.970783
   2.96991     -7.981333     -7.981471
   3.01599     -8.011093     -8.011424
   3.06207     -8.054548     -8.055693
   3.10815     -8.106194     -8.108905
   3.15423     -8.161801     -8.166696
   3.20031     -8.218523     -8.226000
   3.24639     -8.274512     -8.284762
   3.29248     -8.328613     -8.341692
   3.33856     -8.380135     -8.395978
   3.38464     -8.428726     -8.447202
   3.43072     -8.474236     -8.495166
   3.47680     -8.516688     -8.539865
   3.52288     -8.556222     -8.581431
   3.56896     -8.593067     -8.620077
   3.61504     -8.627508     -8.656100
   3.66113     -8.659873     -8.689838
   3.70721     -8.690535     -8.721685
   3.75329     -8.719923     -8.752088
   3.79937     -8.748539     -8.781575
   3.84545     -8.776997     -8.810779
   3.89153     -8.806107     -8.840493
   3.93761     -8.836934     -8.871726
   3.98370     -8.870929     -8.905787
   4.02978     -8.909982     -8.944295
   4.07586     -8.956282     -8.989065
   4.12194     -9.011749     -9.041681
   4.16802     -9.076963     -9.102781
   4.21410     -9.150445     -9.171442
   4.26018     -9.229027     -9.245246
   4.30627     -9.309010     -9.321023
   4.35235     -9.387055     -9.395643
   4.39843     -9.460510     -9.466429
   4.44451     -9.527344     -9.531235
   4.49059     -9.586036     -9.588417
   4.53667     -9.635427     -9.636713
   4.58275     -9.674668     -9.675180
   4.62884     -9.703119     -9.703121
   4.67492     -9.720343     -9.720048
   4.72100     -9.726114     -9.725726
   4.72100     -9.726114     -9.725726
   4.75469     -9.722405     -9.721940
   4.78838     -9.711334     -9.710681
   4.82207     -9.692949     -9.692122
   4.85576     -9.667398     -9.666661
   4.88945     -9.634868     -9.634832
   4.92314     -9.595610     -9.597376
   4.95683     -9.549914     -9.555232
   4.99052     -9.498124     -9.509576
   5.02421     -9.440639     -9.461823
   5.05790     -9.377911     -9.413607
   5.09159     -9.310446     -9.366678
   5.12528     -9.238791     -9.322715
   5.15896     -9.163573     -9.283126
   5.19265     -9.085437     -9.248784
   5.22634     -9.005147     -9.219977
   5.26003     -8.923574     -9.196460
   5.29372     -8.841897     -9.177620
   5.32741     -8.763124     -9.162678
   5.36110     -8.712142     -9.150815
   5.39479     -8.703470     -9.141280
   5.42848     -8.701082     -9.133416
   5.46217     -8.700212     -9.126670
   5.49586     -8.700225     -9.120578
   5.52955     -8.700916     -9.114790
   5.56324     -8.702177     -9.109019
   5.59693     -8.703912     -9.103074
   5.63062     -8.706038     -9.096842
   5.66431     -8.708469     -9.090268
   5.69800     -8.711113     -9.083369
   5.73169     -8.713881     -9.076227
   5.76538     -8.716682     -9.068976
   5.79907     -8.719427     -9.061790
   5.83276     -8.722030     -9.054883
   5.86645     -8.724405     -9.048490
   5.90014     -8.726477     -9.042848
   5.93383     -8.728173     -9.038185
   5.96752     -8.729429     -9.034698
   6.00121     -8.730205     -9.032541
