filename,m1_muB,m2_muB,m_total_muB,condition_met
POSCAR_Bi8Ru2_1_y950,0.966,-0.932,0.025,False
POSCAR_Bi8Ru2_1_y975,1.15,-1.151,-0.0,True
POSCAR_Bi8Ru2_1_z025,1.402,-1.405,-0.004,True
POSCAR_Bi8Ru2_1_z050,1.513,-1.515,-0.003,True
POSCAR_Bi8Ru2_1_z975,1.128,-1.124,0.005,True
POSCAR_Br4Cu2_1,0.484,-0.484,0.0,True
POSCAR_Br4Cu2_1_st025,0.508,-0.508,0.0,True
POSCAR_Br4Cu2_1_st050,0.521,-0.521,0.0,True
POSCAR_Br4Cu2_1_st950,0.4,-0.4,0.0,True
POSCAR_Br4Cu2_1_st975,0.448,-0.448,0.0,True
POSCAR_Br4Cu2_1_x025,0.492,-0.492,0.0,True
POSCAR_Br4Cu2_1_x050,0.495,-0.495,0.0,True
POSCAR_Br4Cu2_1_x950,0.453,-0.453,0.0,True
POSCAR_Br4Cu2_1_x975,0.472,-0.472,0.0,True
POSCAR_Br4Cu2_1_y025,0.492,-0.492,0.0,True
POSCAR_Br4Cu2_1_y050,0.495,-0.495,0.0,True
POSCAR_Br4Cu2_1_y950,0.453,-0.453,0.0,True
POSCAR_Br4Cu2_1_y975,0.472,-0.471,0.0,True
POSCAR_Br4Cu2_1_z025,0.493,-0.493,0.0,True
POSCAR_Br4Cu2_1_z050,0.498,-0.498,0.0,True
POSCAR_Br4Cu2_1_z950,0.458,-0.458,0.0,True
POSCAR_Br4Cu2_1_z975,0.473,-0.472,0.0,True
POSCAR_Br4Mn2_1,4.606,-4.606,0.0,True
POSCAR_Br4Mn2_1_st025,4.631,-4.631,0.0,True
POSCAR_Br4Mn2_1_st050,4.652,-4.652,0.0,True
POSCAR_Br4Mn2_1_st950,4.536,-4.536,0.0,True
POSCAR_Br4Mn2_1_st975,4.575,-4.575,0.0,True
POSCAR_Br4Mo2_1,3.472,-3.472,-0.0,True
POSCAR_Br4Mo2_1_st025,3.505,-3.505,-0.0,True
POSCAR_Br4Mo2_1_st050,3.534,-3.534,-0.0,True
POSCAR_Br4Mo2_1_st950,3.386,-3.386,-0.0,True
POSCAR_Br4Mo2_1_st975,3.433,-3.433,-0.0,True
POSCAR_Br4Ru2_1,3.281,-3.28,0.0,True
POSCAR_Br4Ru2_1_st025,3.339,-3.339,0.0,True
POSCAR_Br4Ru2_1_st050,3.385,-3.385,0.0,True
POSCAR_Br4Ru2_1_st950,3.101,-3.101,0.0,True
POSCAR_Br4Ru2_1_st975,3.204,-3.204,0.0,True
POSCAR_Br4Ru2_1_x025,3.305,-3.304,0.0,True
POSCAR_Br4Ru2_1_x050,3.326,-3.325,0.0,True
POSCAR_Br4Ru2_1_x950,3.223,-3.223,0.0,True
POSCAR_Br4Ru2_1_x975,3.254,-3.253,0.0,True
POSCAR_Br4Ru2_1_y025,3.3,-3.299,0.0,True
POSCAR_Br4Ru2_1_y050,3.318,-3.317,0.0,True
POSCAR_Br4Ru2_1_y950,3.238,-3.237,0.0,True
POSCAR_Br4Ru2_1_y975,3.26,-3.26,0.0,True
POSCAR_Br4Ru2_1_z025,3.301,-3.3,0.0,True
POSCAR_Br4Ru2_1_z050,3.319,-3.319,0.0,True
POSCAR_Br4Ru2_1_z950,3.234,-3.233,0.0,True
POSCAR_Br4Ru2_1_z975,3.258,-3.258,0.0,True
POSCAR_Br4V2_1,2.735,-2.735,0.0,True
POSCAR_Br4V2_1_st025,2.751,-2.751,0.0,True
POSCAR_Br4V2_1_st050,2.765,-2.765,0.0,True
POSCAR_Br4V2_1_st950,2.694,-2.694,0.0,True
POSCAR_Br4V2_1_st975,2.716,-2.716,0.0,True
POSCAR_Br6Pd2_1,0.352,-0.352,-0.0,True
POSCAR_Br6Pd2_1_st025,0.407,-0.407,-0.0,True
POSCAR_Br6Pd2_1_st050,0.47,-0.47,-0.0,True
POSCAR_Br6Pd2_1_st950,0.243,-0.243,-0.0,True
POSCAR_Br6Pd2_1_st975,0.298,-0.298,-0.0,True
POSCAR_C1Co2_1,1.021,-1.021,-0.0,True
POSCAR_C1Co2_1_st025,1.254,-1.254,0.0,True
POSCAR_C1Co2_1_st050,1.505,-1.506,-0.0,True
POSCAR_C1Co2_1_st950,0.034,-0.035,-0.0,True
POSCAR_C1Co2_1_st975,0.163,-0.162,0.001,True
POSCAR_C2Cr2_3,2.006,-2.006,0.0,True
POSCAR_C2Cr2_3_st025,2.304,-2.304,-0.0,True
POSCAR_C2Cr2_3_st050,2.823,-2.823,-0.0,True
POSCAR_C2Cr2_3_st950,1.353,-1.353,-0.0,True
POSCAR_C2Cr2_3_st975,1.712,-1.711,0.0,True
POSCAR_C2Cr2_5,2.119,-2.12,-0.001,True
POSCAR_C2Cr2_5_st025,2.451,-2.451,0.0,True
POSCAR_C2Cr2_5_st050,3.04,-3.04,-0.001,True
POSCAR_C2Cr2_5_st950,1.714,-1.716,-0.002,True
POSCAR_C2Cr2_5_st975,1.914,-1.914,-0.0,True
POSCAR_C2Fe2_3,2.65,-2.648,0.001,True
POSCAR_C2Fe2_3_st025,3.091,-3.091,-0.001,True
POSCAR_C2Fe2_3_st050,3.284,-3.284,-0.001,True
POSCAR_C2Fe2_3_st950,2.023,-2.025,-0.002,True
POSCAR_C2Mo2_4,0.005,-0.006,-0.001,True
POSCAR_C2Sc2_4,0.002,0.003,0.004,True
POSCAR_C2Sc2_4_x025,-0.0,-0.0,-0.0,True
POSCAR_C2Sc2_4_x050,-0.0,-0.0,-0.0,True
POSCAR_C2Sc2_4_x950,-0.0,-0.0,-0.0,True
POSCAR_C2Sc2_4_x975,-0.0,0.0,-0.0,True
POSCAR_C2Sc2_4_y025,0.0,0.0,0.0,True
POSCAR_C2Sc2_4_y050,-0.0,-0.0,-0.0,True
POSCAR_C2Sc2_4_y950,-0.0,-0.0,-0.0,True
POSCAR_C2Sc2_4_y975,-0.0,-0.0,-0.0,True
POSCAR_C2Sc2_4_z025,-0.0,-0.0,-0.0,True
POSCAR_C2Sc2_4_z050,0.0,0.0,0.0,True
POSCAR_C2Sc2_4_z950,-0.0,-0.0,-0.0,True
POSCAR_C2Sc2_4_z975,-0.0,-0.0,-0.0,True
POSCAR_Cd2F6_3,0.003,-0.003,0.0,True
POSCAR_Cl4Co2_1,2.598,-2.598,0.0,True
POSCAR_Cl4Co2_1_st025,2.635,-2.635,0.0,True
POSCAR_Cl4Co2_1_st050,2.663,-2.663,0.0,True
POSCAR_Cl4Co2_1_st950,2.488,-2.487,0.0,True
POSCAR_Cl4Co2_1_st975,2.551,-2.55,0.0,True
POSCAR_Cl4Fe2_1,3.683,-3.683,0.0,True
POSCAR_Cl4Fe2_1_st025,3.71,-3.71,0.0,True
POSCAR_Cl4Fe2_1_st050,3.731,-3.731,0.0,True
POSCAR_Cl4Fe2_1_st950,3.603,-3.602,0.0,True
POSCAR_Cl4Fe2_1_st975,3.648,-3.648,0.0,True
POSCAR_Cl4Fe2_2,3.709,-3.708,0.0,True
POSCAR_Cl4Fe2_2_st025,3.731,-3.731,0.0,True
POSCAR_Cl4Fe2_2_st050,3.749,-3.749,0.0,True
POSCAR_Cl4Fe2_2_st950,3.643,-3.643,0.0,True
POSCAR_Cl4Fe2_2_st975,3.68,-3.68,0.0,True
POSCAR_Cl4Mn2_1,4.615,-4.615,-0.0,True
POSCAR_Cl4Mn2_1_st025,4.639,-4.639,-0.0,True
POSCAR_Cl4Mn2_1_st050,4.659,-4.659,-0.0,True
POSCAR_Cl4Mn2_1_st950,4.548,-4.548,-0.0,True
POSCAR_Cl4Mn2_1_st975,4.585,-4.585,-0.0,True
POSCAR_Cl4Nb2_1,2.461,-2.462,-0.0,True
POSCAR_Cl4Nb2_1_st025,2.538,-2.537,0.0,True
POSCAR_Cl4Nb2_1_st050,2.606,-2.606,-0.0,True
POSCAR_Cl4Nb2_1_st950,2.278,-2.278,-0.0,True
POSCAR_Cl4Nb2_1_st975,2.376,-2.376,-0.0,True
POSCAR_Cl4Nb2_2,2.62,-2.62,0.0,True
POSCAR_Cl4Nb2_2_st025,2.683,-2.683,0.0,True
POSCAR_Cl4Nb2_2_st050,2.742,-2.742,-0.0,True
POSCAR_Cl4Nb2_2_st950,2.477,-2.477,0.0,True
POSCAR_Cl4Nb2_2_st975,2.552,-2.552,0.0,True
POSCAR_Cl6Mn2_1,4.114,-4.115,-0.0,True
POSCAR_Cl6Mn2_1_st025,4.222,-4.223,-0.0,True
POSCAR_Cl6Mn2_1_st050,4.323,-4.324,-0.0,True
POSCAR_Cl6Mn2_1_st950,3.887,-3.887,-0.0,True
POSCAR_Cl6Mn2_1_st975,4.001,-4.002,-0.0,True
POSCAR_Cl6Nb2_1,1.708,-1.708,0.0,True
POSCAR_Cl6Nb2_1_st025,1.767,-1.767,0.0,True
POSCAR_Cl6Nb2_1_st050,1.818,-1.818,0.0,True
POSCAR_Cl6Nb2_1_st950,1.551,-1.551,0.0,True
