name,dir,status,ef,nelect,nkpts,nbands,n_pairs,n_kpts_used,sse_max,sse_p99,sse_p95,sse_p90,sse_p50,sse_mean_w,sse_kmax_mean_w,sse_max_over_p95,sse_max_win_both,sse_max_win_either,band,k_id,kx,ky,kz,e_up,e_dn,k_weight_at_max,eigenval,outcar
FeAs|ediff1e8,/scratch/e1398a04/Altermagnetism/FeAs_conv/ediff1e8,ok,5.4897,26,436,48,777,429,1.402524,1.3486220000000002,1.043062,0.8050219999999997,0.08771600000000035,0.28163632613836787,0.37095166520250233,1.344621892083117,1.402524,1.402524,13,215,-0.3333333,-0.08333333,0.1666667,3.610426,5.01295,0.002314815,EIGENVAL,OUTCAR
CoO_sp|base,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/base,ok,7.3862,30,364,32,996,364,0.9735250000000004,0.9234610000000005,0.7001270000000002,0.5591850000000003,0.18533699999999964,0.2417366817640608,0.3966727056264185,1.390497723984363,0.9735250000000004,0.9735250000000004,15,271,-2.735084e-17,-0.2727273,0.3333333,6.148058,7.121583,0.002754821,EIGENVAL,OUTCAR
CoO_sp|k133,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/k133,ok,7.424,30,901,32,2391,901,0.9835329999999995,0.930841,0.7122789999999997,0.5714999999999995,0.18449199999999966,0.24631970255851782,0.40141414769836053,1.3808254911347941,0.9835329999999995,0.9835329999999995,15,729,-3.855059e-17,-0.2666667,0.375,6.158431,7.141964,0.001111111,EIGENVAL,OUTCAR
CoO_sp|k150,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/k150,ok,7.4664,30,1301,32,3370,1301,1.0003659999999996,0.9254550000000004,0.709848,0.5698449999999999,0.19309300000000018,0.24827620035619574,0.3993812529796276,1.4092678996066759,1.0003659999999996,1.0003659999999996,15,1233,-0.05882353,-0.2941176,0.4444444,6.199118,7.199484,0.000768935,EIGENVAL,OUTCAR
CoO_sp|k200,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/k200,ok,7.4744,30,2908,32,7473,2908,1.026306,0.9234939999999998,0.7151209999999999,0.5747049999999998,0.18704300000000007,0.24937108059762347,0.3994349881198484,1.4351501354316263,1.026306,1.026306,15,2554,-0.04545455,-0.2727273,0.4166667,6.160213,7.186519,0.0003443526,EIGENVAL,OUTCAR
CoO_sp|enc600,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/enc600,ok,7.3846,30,364,32,996,364,0.9735940000000003,0.9233849999999997,0.7000099999999998,0.5590859999999997,0.18533800000000067,0.24174117673387863,0.3966865582435059,1.3908287024471087,0.9735940000000003,0.9735940000000003,15,271,-2.735084e-17,-0.2727273,0.3333333,6.14664,7.120234,0.002754821,EIGENVAL,OUTCAR
CoO_sp|enc625,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/enc625,ok,7.3845,30,364,32,996,364,0.9734049999999996,0.923279,0.7000500000000001,0.5589889999999995,0.18529799999999952,0.24174153287070002,0.39667754171456565,1.3904792514820363,0.9734049999999996,0.9734049999999996,15,271,-2.735084e-17,-0.2727273,0.3333333,6.146116,7.119521,0.002754821,EIGENVAL,OUTCAR
CoO_sp|enc700,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/enc700,ok,7.3846,30,364,32,996,364,0.9733470000000004,0.9230130000000001,0.6996890000000002,0.559043,0.18525100000000005,0.24170712743809022,0.3966391353784553,1.3911137662590094,0.9733470000000004,0.9733470000000004,15,271,-2.735084e-17,-0.2727273,0.3333333,6.14488,7.118227,0.002754821,EIGENVAL,OUTCAR
CoO_sp|sig0005,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/sig0005,ok,7.3863,30,364,32,996,364,0.9735379999999996,0.9235119999999997,0.7000700000000002,0.559158,0.18533800000000067,0.24172189152265092,0.39665684199013873,1.3906295084777227,0.9735379999999996,0.9735379999999996,15,271,-2.735084e-17,-0.2727273,0.3333333,6.148042,7.12158,0.002754821,EIGENVAL,OUTCAR
CoO_sp|sig002,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/sig002,ok,7.5369,30,364,32,895,364,0.9736609999999999,0.9279639999999993,0.708507,0.56717,0.18896999999999942,0.24558073927911298,0.3834033653927172,1.3742433031713164,0.9736609999999999,0.9736609999999999,15,271,-2.735084e-17,-0.2727273,0.3333333,6.147893,7.121554,0.002754821,EIGENVAL,OUTCAR
CoO_sp|sig005,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/sig005,ok,7.5369,30,364,32,895,364,0.9734910000000001,0.9278930000000001,0.708285,0.5673759999999994,0.18900500000000076,0.24556882606530755,0.3833690251724476,1.3744340202037315,0.9734910000000001,0.9734910000000001,15,271,-2.735084e-17,-0.2727273,0.3333333,6.148041,7.121532,0.002754821,EIGENVAL,OUTCAR
CoO_sp|tetra,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/tetra,ok,7.3862,30,364,32,996,364,0.9734110000000005,0.9235009999999999,0.7003200000000005,0.5591560000000007,0.18533299999999997,0.24174131053666326,0.3966646133398258,1.3899517363490972,0.9734110000000005,0.9734110000000005,15,271,-2.735084e-17,-0.2727273,0.3333333,6.148083,7.121494,0.002754821,EIGENVAL,OUTCAR
CoO_sp|ediff1e7,/scratch/e1398a04/Altermagnetism/CoO_sp_conv/ediff1e7,ok,7.3863,30,364,32,996,364,0.9736919999999998,0.9236109999999993,0.6998299999999995,0.5592130000000006,0.1852830000000001,0.24173830600950147,0.39671151829855905,1.3913264649986432,0.9736919999999998,0.9736919999999998,15,271,-2.735084e-17,-0.2727273,0.3333333,6.147837,7.121529,0.002754821,EIGENVAL,OUTCAR
